Dte. Barri AEB SC Electors Votants BCOMÚ-E CUP CILUS C`s |VOX - PFYV| CiU EV-AE EB ERC |FE de las JONS| LCN |Millor Barcelona| PP |SAIn | PACMA PCPC |PSC-CP | PH P-LIB PxC UPyD |UPDIC | Blancs Nuls
BARCELONA    1.161.140 703.590 176.612 51.945 989 77.272 1.520 159.393 5.684 1.957 77.120 455 99 2.626 61.004 166 5.720 656 67.489 439 273 1.617 811 286 6.363 3.094
1 4 16 44 886 494 174 60 1 41 0 84 6 1 42 0 0 2 34 0 4 2 33 0 1 0 0 0 8 1
1 4 16 45 1.148 509 161 52 2 32 4 80 5 3 64 0 0 3 41 1 4 0 49 1 0 0 0 0 6 1
1 4 16 46 977 458 180 50 0 22 0 70 0 0 38 1 0 3 29 0 7 1 44 0 1 0 1 0 9 2
1 4 17 47 1.002 450 180 31 0 15 0 63 4 2 47 0 0 0 40 0 13 1 47 1 0 1 2 0 2 1
1 4 17 48 1.183 497 183 42 2 24 0 78 9 0 46 0 0 2 45 0 5 2 45 0 2 7 1 0 2 2
1 4 17 49 841 445 145 43 2 23 4 92 3 0 37 0 0 2 39 0 6 0 37 0 0 1 1 2 3 5
1 4 18 50 894 450 150 52 1 26 0 68 1 0 55 3 0 1 27 0 7 1 51 0 0 2 1 3 0 1
1 4 18 51 909 444 170 40 0 34 0 57 3 1 41 1 0 5 13 1 6 2 56 0 1 2 0 2 7 2
1 4 18 52 1.333 814 290 85 0 82 0 146 8 4 91 0 0 2 30 0 12 0 52 0 0 2 1 0 5 4
1 4 19 53 1.214 598 215 49 1 61 0 69 5 3 46 1 0 3 50 1 10 2 67 2 3 2 0 0 8 0
1 4 19 54 761 384 159 25 0 32 1 47 5 1 20 1 0 5 27 0 7 0 50 0 0 1 0 0 2 1
1 4 19 55 905 467 157 36 1 0 3 103 4 1 41 0 0 2 64 0 5 0 43 0 0 0 0 1 2 4
2 5 20 1 846 537 118 45 1 48 1 133 6 2 61 1 0 6 47 0 7 1 48 0 1 2 3 0 3 3
2 5 20 2 1.411 813 188 57 1 75 0 218 7 3 115 0 0 6 66 1 6 0 57 0 0 0 1 0 9 3
2 5 20 3 919 579 118 51 1 59 0 171 3 2 76 1 0 1 36 0 4 0 50 0 0 0 0 1 4 1
2 5 20 4 1.000 626 151 60 1 58 1 151 4 2 87 0 0 3 46 2 4 0 41 2 0 1 1 0 8 3
2 5 20 5 1.539 1.068 214 111 0 117 3 325 3 4 120 0 0 2 68 1 4 1 80 1 0 2 0 1 10 1
2 5 20 6 1.141 795 164 85 0 72 0 212 5 0 91 0 0 8 73 2 4 1 60 0 0 3 1 0 10 4
2 5 20 7 930 620 104 46 4 82 0 172 6 2 77 0 0 0 79 0 5 1 33 0 0 0 1 0 6 2
2 5 20 8 1.357 919 207 77 0 94 3 282 8 4 102 1 0 4 51 1 5 0 64 0 0 0 1 1 10 4
2 5 20 9 1.226 798 195 70 2 96 0 180 6 3 94 0 0 3 62 0 3 0 70 0 0 1 0 0 10 3
2 5 21 10 866 575 126 51 2 75 0 142 2 1 58 0 0 6 43 0 5 1 54 0 0 0 0 0 6 3
2 5 21 11 868 567 142 49 0 73 0 143 2 4 59 0 0 0 47 0 2 1 36 1 1 0 0 0 6 1
2 5 21 12 1.099 685 198 62 1 71 1 128 5 1 81 0 0 1 58 0 14 0 54 1 0 3 0 1 3 2
2 5 21 13 777 474 139 36 2 49 0 96 2 3 63 0 0 3 24 0 1 2 49 0 0 0 0 0 2 3
2 5 22 14 821 463 137 46 0 40 1 112 2 1 62 0 0 1 17 1 6 0 23 1 3 1 1 0 4 4
2 5 22 15 1.123 666 187 55 1 66 2 159 9 3 61 1 0 3 44 0 8 0 57 0 0 1 0 1 8 0
2 5 22 16 1.372 912 182 87 1 110 2 247 14 1 98 0 0 4 72 0 8 0 71 0 0 0 0 0 12 3
2 5 22 17 1.361 913 203 71 1 89 0 259 6 4 127 0 0 6 60 0 3 0 70 1 0 0 1 0 8 4
2 5 22 18 1.365 884 155 47 1 107 0 300 4 3 97 2 0 6 87 0 5 0 57 0 1 1 0 1 6 4
2 5 22 19 1.421 902 197 67 2 99 2 243 9 1 111 0 0 7 80 0 5 1 68 0 0 0 0 0 6 4
2 5 22 20 973 539 115 64 0 58 2 140 2 2 50 0 0 0 45 0 3 0 46 1 0 1 0 1 7 2
2 6 23 21 1.077 688 207 37 0 79 0 123 5 5 86 0 0 2 62 0 5 0 71 0 0 0 0 1 3 2
2 6 23 22 884 581 127 45 0 36 0 168 2 1 92 0 0 1 47 0 10 0 35 0 0 3 2 1 8 3
2 6 23 23 878 530 121 43 1 47 1 110 3 2 80 1 0 1 37 0 6 0 64 0 0 2 0 0 7 4
2 6 23 24 830 504 118 43 3 52 0 111 5 2 59 0 0 0 46 0 4 1 45 0 0 2 3 0 6 4
2 6 24 25 875 523 133 25 1 59 1 150 7 1 64 0 0 0 32 0 7 0 35 1 0 0 0 1 4 2
2 6 24 26 1.540 969 195 69 1 99 0 267 5 4 138 0 0 2 80 0 1 0 91 0 0 1 2 1 8 5
2 6 24 27 1.527 1.012 215 77 0 91 1 312 15 2 132 0 0 4 65 1 4 1 75 0 1 4 2 0 9 1
2 6 24 28 1.502 924 216 73 1 78 0 288 9 6 102 0 0 6 55 1 3 0 70 0 0 1 3 0 10 2
2 6 24 29 847 530 118 56 1 53 1 117 10 1 76 1 0 2 38 0 6 0 48 0 0 0 0 0 1 1
2 6 24 30 897 535 161 27 4 49 1 117 6 4 73 0 0 2 36 0 3 1 39 1 0 0 0 2 7 2
2 6 24 31 844 562 125 40 0 65 0 149 6 2 81 0 0 7 24 0 6 0 51 0 0 1 0 0 4 1
2 6 24 32 932 546 149 40 1 41 1 136 6 3 79 0 0 1 27 0 6 0 47 1 0 0 1 0 5 2
2 6 25 33 883 566 139 51 0 47 0 116 3 3 97 0 0 0 44 0 3 0 59 0 1 0 0 0 3 0
